x_coord,y_coord,pred_z4,pred_z7,pred_z8
4465.918079063814,350.97285451144745,-1.088302,2.8074772,2.05087
2660.54734257782,431.7169986763861,-0.49207377,41.416267,14.045785
4266.270622582004,440.01753777221404,-1.1329321,2.9058301,2.6143408
2665.1918517305044,439.75400919697853,-0.11783753,14.337716,-26.338144
318.33156482084155,479.40619986705764,-0.5114467,-7.071378,3.1598763
1358.628590237454,710.9988864920346,-0.05717638,-15.785061,-12.717693
3953.592527105182,890.7475489665774,-1.1943923,2.723308,2.8841336
3299.886912976178,899.2530253540856,-1.2686843,2.260197,4.2718287
94.57162744192829,973.1275890791928,0.1673954,-24.576523,0.26036897
94.72566487820605,975.021878812276,0.064607754,-22.121468,-8.94668
88.46086274009154,977.5984672057232,-0.6050905,0.8972372,-25.26689
4273.332345180702,1085.94799651185,-1.1626962,3.8912518,2.4800537
863.3448851753097,1096.7941931311138,-1.0551318,-2.3966408,1.5120348
3451.2070236257764,1355.9461588245624,-1.1838479,3.0389264,3.2489533
3500.5347019894657,1444.6844959611326,-0.53952044,1.8994156,-4.4281983
603.5443876613165,1527.571106576094,-1.1392745,-1.2606269,6.2093678
874.7013723759525,1671.769077484735,-1.1431881,-0.91556275,6.822027
876.1933478906716,1674.1335183157294,-1.1537867,-2.0086675,4.4314885
3545.703105942798,1722.1954316992835,-1.3728253,2.8935223,4.8760285
949.6907028002072,1866.947558847715,-1.2885069,0.33831725,6.747019
4202.925366787906,1904.3746012224235,-1.3079163,3.7521079,4.7443986
3758.149461908456,2004.0748299283666,-1.3644851,5.026958,9.1419935
3760.6560345764865,2024.504191613415,-1.7037848,0.7662524,-11.016601
2549.173604100805,2059.0740198080634,-1.6660097,2.9369059,6.271217
601.8669836658576,2073.660952823664,-0.85044295,-3.466446,8.409446
2896.455776955782,2127.020447549179,-0.46589223,9.600249,7.926332
2895.8365159365594,2129.1629987104243,-0.5948163,9.263974,-0.5596038
2900.9917886675544,2129.0103579047864,-0.4902923,-6.3560805,-0.23955354
4512.930316905855,2174.6022173058177,-0.8762487,7.073144,1.6735831
3709.591936666916,2218.747891936841,-0.72045517,-1.3378855,4.4545407
3706.7684766294465,2219.6396474498824,-0.788946,5.978063,1.2330946
1605.1716098643196,2276.818150945509,-0.728302,-0.9330598,9.307001
1605.826527766385,2278.2872171447316,-0.7613003,-3.3212206,6.6019397
2945.927178537532,2308.60302890802,-1.332712,2.0381274,4.9029193
3286.59917921893,2369.806096048549,-1.5929028,2.5150058,5.988115
3003.3913244118708,2411.0521771160084,-0.6805004,6.620356,1.3316108
2140.641121379709,2447.9172965568996,-0.5911625,-8.193653,5.142221
2137.8041956770858,2449.981729978985,-0.631659,0.63317096,-2.9747376
2988.2098511011886,2491.6400843769648,-1.5952687,2.6286588,5.8008623
3638.4557115738644,2522.4854087045032,-1.6262673,2.9879894,6.348951
4581.664234836029,2541.1023965910645,-1.2740164,4.1457887,4.9576707
3323.8204161757058,2682.0749914947673,-1.6533691,2.770155,6.3162155
2410.7987046666094,2742.065291845001,-1.4330425,1.7181147,6.439744
3816.852480229517,2789.0851816593467,-0.9997738,2.289926,6.615226
3071.613532177114,2829.8942181586426,-1.7030755,2.6480834,6.2694416
4264.740425726492,2832.9589375142637,-1.4175448,3.6206717,5.583793
3112.4123643877747,2929.209930348948,-0.70075506,15.939256,-3.4785619
3118.8060417285715,2928.500130360062,-0.32725614,-7.708453,-3.4061034
4345.16795528547,3032.224453085628,-0.41532588,15.001082,6.9413686
4350.381256386713,3031.3320686853435,-0.26786685,-2.147255,11.426471
1728.4949165875587,3224.7327297440434,-1.4028282,0.5178894,6.1469426
3655.271530625114,3286.696227624195,-1.5294784,2.976253,6.310314
3208.711778264488,3298.373981108203,-1.5083529,2.303221,6.994556
2866.0543928845227,3368.9470149106937,-0.41896525,-8.904949,16.058718
1551.350540231448,3396.2242655462246,-0.70229024,-3.7844083,9.339292
1550.9765093670849,3397.637975954865,-0.7283496,-3.6632004,3.0836911
678.732782040981,3483.4504129761694,-1.2049204,-2.3999472,7.1857986
677.9100333366698,3485.534667528327,-1.203745,-1.3718024,3.392103
